name,extent,sector,latitude,longitude
2011_09_29_Blocks_Nhoods_Agencies_All_CF,LAC,x,18.513500,-72.346700
2011_12_29_2YRDRR_Final,LAC,x,18.539000,-72.334800
2012_03_09_Campeche_Satellite_SDE,LAC,x,18.525700,-72.336000
2012_05_23_Central_America_LARRA_Communities_5-12,LAC,x,12.150000,-86.266667
2012_06_12_MyanmarFinal,AMEE,x,19.750000,96.100000
2012_08_05_PaP_Bilateral_and_Partners_Overview_7.27.11,LAC,x,18.549400,-72.303000
2012_08_17_Cases_v_Volunteers,AFRICA,x,8.484450,-13.234450
2013_01_30_DisasterResponse_Q2,GLOBAL,x,27.000000,-40.000000
2013_01_31_Latin_America_Programs_FY13_InternalV2,LAC,x,2.170800,-72.104200
2013_03_29_RFL_MAP,USA,x,38.061300,-98.996500
2013_3_28_ResponseAppeals,GLOBAL,x,27.000000,-40.000000
2013_04_03_ARCT_FY14_Eurasia_Programs,AMEE,x,35.775400,84.931800
AMEE_PO_Coverage_June2013,AMEE,x,34.492400,82.635700
ARC_P09_metropolitan_camps_geology_analysis,LAC,x,18.508333,-72.327778
ARC_P019_metropolitan_camps_geology_analysis,LAC,x,18.502778,-72.286111
ARC_P062_v1_LAMIKA_STUDY_AREA_UNSAFE_AREAS_low,LAC,x,18.526667,-72.333333
ARC_P066_V2_CAMPECHE_FIELD_LIGHTING_high,LAC,x,18.525000,-72.335000
ARC_P074_DELINEATION_low,LAC,x,18.524722,-72.334722
CaribbeanProgramsFY14,LAC,x,16.263200,-76.008100
floodRisk,AFRICA,x,0.967600,34.291400
GDPC_EngagementMap_FY2013,GLOBAL,x,27.000000,-40.000000
GuluFireRisk,AFRICA,x,2.776256,32.287621
LaPlata_2,LAC,x,-34.920755,-57.953530
